title	writer	genre	url
二度目の悪逆皇女はかつての敵と幸せになります。でも私を利用した悪辣な人々は絶対に許さない！【悪逆皇女は黒歴史を塗り替える】	緋色の雨	異世界(恋愛)	https://ncode.syosetu.com/N3531IA
冰の令嬢ヒストリカが幸せになるまで〜「女のくせに出しゃばり過ぎだ」と婚約破棄された子爵令嬢は、醜悪公爵の病気を治し溺愛されるようになったので毎日が幸せです〜	青季 ふゆ	異世界(恋愛)	https://ncode.syosetu.com/N6290IA
王子の婚約者だけど冤罪をかけられました。彼らを嘘つきにしないように冤罪内容を全部ほんとにしてあげようと思います！	雪野ゆきの	異世界(恋愛)	https://ncode.syosetu.com/N7992IA
【電子書籍化決定】虎の威を借る狐になって復讐がしたい	こう	異世界(恋愛)	https://ncode.syosetu.com/N5225IA
消息を絶っていた人質姫が、見つかった。	鯵御膳	異世界(恋愛)	https://ncode.syosetu.com/N5922IB
【書籍化＆コミカライズ決定】聖女の姉が棄てた元婚約者に嫁いだら、蕩けるほどの溺愛が待っていました	瑪々子	異世界(恋愛)	https://ncode.syosetu.com/N6403HZ
そんなことも分からないの？	鈴宮(すずみや)	異世界(恋愛)	https://ncode.syosetu.com/N3971IB
元公爵令嬢、村人に嫁ぐ	瀬尾優梨	異世界(恋愛)	https://ncode.syosetu.com/N6293IA
お飾りの皇妃？　なにそれ天職です！	雪野ゆきの	異世界(恋愛)	https://ncode.syosetu.com/N0001IB
断絶のアリーナ　〜私の婚約者には恋人が居るそうです〜	川崎悠@反逆の勇者、書籍発売中。	異世界(恋愛)	https://ncode.syosetu.com/N2697IB
婚約破棄された令嬢は、婚約者を奪った妹に現実を見せつける	歩芽川ゆい	異世界(恋愛)	https://ncode.syosetu.com/N3237IB
人質姫が、消息を絶った。	鯵御膳	異世界(恋愛)	https://ncode.syosetu.com/N4426IB
悪役令嬢卒業後のゴージャスな偽装結婚	山田露子	異世界(恋愛)	https://ncode.syosetu.com/N0670HZ
大悪党、娘になりました	こう	異世界(恋愛)	https://ncode.syosetu.com/N1131IB
【書籍化】呪いで猫にされた悪女、王太子に拾われる。	sasasa	異世界(恋愛)	https://ncode.syosetu.com/N1292IB
今日結婚した夫から2年経ったら出ていけと言われました	四折　柊	異世界(恋愛)	https://ncode.syosetu.com/N6563IB
【書籍化】「君を愛することはない」と旦那様に言われましたが、没落聖女なので当然ですよね。	霜月零	異世界(恋愛)	https://ncode.syosetu.com/N3216IB
姉に全てを奪われたルーン魔術師、天才王子に溺愛される ～婚約者、仕事、成果もすべて姉に横取りされた地味な妹ですが、ある日突然立場が逆転しちゃいました～	日之影ソラ（ノベル19シリーズ）	異世界(恋愛)	https://ncode.syosetu.com/N4238IA
婚約破棄は迅速に	瀬嵐しるん	異世界(恋愛)	https://ncode.syosetu.com/N6670IB
魔法の杖を持つ姫は、まだ恋を忘れられない	ぷよ猫	異世界(恋愛)	https://ncode.syosetu.com/N3981IB
肉と酒を好む英雄は、娶らされた姫に触れられない。【書籍化企画進行中】	鯵御膳	異世界(恋愛)	https://ncode.syosetu.com/N6831IB
オリヴィア嬢は愛されると死ぬ 　～ 旦那様、ちょっとこっち見すぎですわ ～【書籍化企画進行中】	紺染 幸	異世界(恋愛)	https://ncode.syosetu.com/N2416IA
今回も「許します」私がそう言うと思っていましたか？	四折　柊	異世界(恋愛)	https://ncode.syosetu.com/N8230IA
冤罪から逃れるために全てを捨てた。	四折　柊	異世界(恋愛)	https://ncode.syosetu.com/N1847IB
至らぬ妻なので国へ帰らせて頂きますと、辺境伯夫人は突然ドレスの裾を翻し、客人達の前から消え去った。残された者達の終幕は……	悠木　源基	異世界(恋愛)	https://ncode.syosetu.com/N3449IA
警告の侍女	河辺　螢	異世界(恋愛)	https://ncode.syosetu.com/N3250IA
移し鏡のアンネローゼ　～「すべてにおいて平均以下だから」と婚約破棄された子爵令嬢はそのすべてを取り戻し、怪物と噂の公爵様に溺愛されて幸せに暮らします～	緋色の雨	異世界(恋愛)	https://ncode.syosetu.com/N8701IA
無自覚な俺の婚約者	琴乃葉	異世界(恋愛)	https://ncode.syosetu.com/N7967IB
婚約破棄劇の傍観者ですが見ていられません「お兄様やっちゃってください」	雲丹屋	異世界(恋愛)	https://ncode.syosetu.com/N9749IA
家族に疎んじられているそうです。私が？	上田　成	異世界(恋愛)	https://ncode.syosetu.com/N2088IB
【書籍化コミカライズ決定】訳あり伯爵様と契約結婚したら、義娘（６歳）の契約母になってしまいました。　〜契約期間はたったの一年間〜	黒猫かりん（旧：黒猫しゃばりん）	異世界(恋愛)	https://ncode.syosetu.com/N7866HZ
公爵令嬢ナターシャは自分のことをちょっと間が悪いと思っている～庶民派を騙る第一王子は、婚約者が平民から「昼飯の女神」と呼ばれて慕われてることを知らない～	紀伊章(kii)　名前変更しました	異世界(恋愛)	https://ncode.syosetu.com/N4236IB
転生したらラスボス系悪女だった！　〜スローライフを希望する、様子のおかしな公爵夫人〜	凪	異世界(恋愛)	https://ncode.syosetu.com/N7286HY
捨てても捨てても戻ってくる呪いの人形みたいに執念深く溺愛してくる、私の婚約者	三香	異世界(恋愛)	https://ncode.syosetu.com/N8861IB
ハズレ姫は意外と愛されている？	gacchi	異世界(恋愛)	https://ncode.syosetu.com/N2913HY
余命半年と告げられた令嬢は、醜い変人魔導士のもとへ姉の身代わりに婚約者として送りこまれました～楽しい余生を過ごしています	別所 燈 	異世界(恋愛)	https://ncode.syosetu.com/N5143HY
鳥籠の枯れ葉令嬢は全力で逃げることにしました	三香	異世界(恋愛)	https://ncode.syosetu.com/N6871IA
聖女様は「王太子殿下と結婚したいです！」と何度も要求しますが、王太子殿下はその度に「愛する婚約者と結婚出来ないくらいなら死ぬ！」と即効性のマジモンの劇薬を用意するので話が進みません。	下菊みこと	異世界(恋愛)	https://ncode.syosetu.com/N6462IB
ざまぁされた王子の三度目の人生	海野はな	異世界(恋愛)	https://ncode.syosetu.com/N9019IB
折角見逃してあげた姉がしつこいのでさくっと破滅させてしあわせになろうと思います	弓良　十矢　No War	異世界(恋愛)	https://ncode.syosetu.com/N7112IA
【連載版始めました！】妹に婚約者を奪われた伯爵令嬢、実は敵国のスパイだったことに誰も気づかない　～婚約破棄に追放は計画通り！　さぁ国に帰ってのんびり暮らしましょう～	日之影ソラ（ノベル19シリーズ）	異世界(恋愛)	https://ncode.syosetu.com/N4961IB
青の君を探した報い	繰目来夏（猫派）	異世界(恋愛)	https://ncode.syosetu.com/N7172IB
【連載版始めました】メシマズ扱いしてくる婚約者とは別れることにしました　～本当は美味しかったと言われても、料理バフで必要とされているのでもう戻りません～	村沢黒音	異世界(恋愛)	https://ncode.syosetu.com/N7716IB
俺の妖精すぎるおっとり妻から離縁を求められ、戦場でも止まらなかった心臓が止まるかと思った。それ以外の願いなら全て叶えるから、何を言われても別れたくはないんだが？	関谷 れい	異世界(恋愛)	https://ncode.syosetu.com/N3309IB
その断罪劇、乗っ取らせていただきます。	当麻リコ	異世界(恋愛)	https://ncode.syosetu.com/N9968IA
悪役女王に転生したので断罪回避のために弟に嫌われようとしたけれど、失敗しました	瀬尾優梨	異世界(恋愛)	https://ncode.syosetu.com/N8009HZ
地味だからと婚約破棄されたので、我慢するのをやめることにしました	木崎優	異世界(恋愛)	https://ncode.syosetu.com/N7019HS
隣国の王族公爵と政略結婚したのですが、子持ちとは聞いてません！？	杯明杖祈	異世界(恋愛)	https://ncode.syosetu.com/N3645IB
ガネス公爵令嬢の変身	くびのほきょう	異世界(恋愛)	https://ncode.syosetu.com/N5629IA
これ、ゼミでやったやつだ	くびのほきょう	異世界(恋愛)	https://ncode.syosetu.com/N3516IB
いつもお互いに煽り煽られイキりイキられ罵倒しあう仲のネトゲ仲間と初のオフ会をしてみたら、そのネトゲ仲間は品行方正で知られる学園一の美人先輩だった話	tama	現実世界(恋愛)	https://ncode.syosetu.com/N5292IA
日本1位のゲーマー有名配信者に出会う	uCa	現実世界(恋愛)	https://ncode.syosetu.com/N0097IA
人の笑顔が好きで人助けが好きだった。けど冤罪を掛けられて半年間牢屋にいた。冤罪が認められて、外に出たが	エア	現実世界(恋愛)	https://ncode.syosetu.com/N2876IB
元勇者、今はアイドルのドライバーやってます	十本スイ	現実世界(恋愛)	https://ncode.syosetu.com/N9448IA
学園一の美少女とエッチをしただけ。	AteRa	現実世界(恋愛)	https://ncode.syosetu.com/N9540IA
 お隣の天使様にいつの間にか駄目人間にされていた件	佐伯さん	現実世界(恋愛)	https://ncode.syosetu.com/N8440FE
俺を振りまくる学園一の美少女が毎回振った俺のことを慰めてくれてデートも誘ってくれるのに付き合ってくれない件〜俺がラブレターを貰ったらなんかなんかバグった〜	社畜豚（Twitter@p70713687）	現実世界(恋愛)	https://ncode.syosetu.com/N0340IB
勇者の生まれ変わりだと豪語する隣の席の女子が、俺のことを魔王扱いしてくる　～まったく勘弁してくれよ……ガチだから～	日之影ソラ（ノベル19シリーズ）	現実世界(恋愛)	https://ncode.syosetu.com/N0678IB
姉の家に居候することになりましたが、姉がVtuber だと知らずにゲーム生配信で無双するという放送事故が起こったら、Vtuber になりました	間違えすぎの隣人	現実世界(恋愛)	https://ncode.syosetu.com/N4040IB
ネトラレ幼馴染	海野裕	現実世界(恋愛)	https://ncode.syosetu.com/N8423IB
 陽キャに幼馴染の彼女を寝取られた陰キャの俺が、学校一の美少女と夫婦になった件。同じ家で糖度100%の甘々青春ラブコメが始まりました！	海野うにを	現実世界(恋愛)	https://ncode.syosetu.com/N5612IA
ドッキリ動画の犠牲になる俺。我慢の限界が来ていた頃に、生配信の強制辞めるドッキリをして来たので、引退を宣言した。	エア	現実世界(恋愛)	https://ncode.syosetu.com/N3241IB
幼馴染で親友の超絶イケメンに彼女が出来たら、なぜか女子達の間で俺が注目され始めた件〜そしてなぜか親友の双子の妹である学校一の美少女が積極的になりました〜	カイザー	現実世界(恋愛)	https://ncode.syosetu.com/N7715IB
清純派アイドルすぎて私生活が死んだ私を待ってくれている幼馴染	蹴神ミコト	現実世界(恋愛)	https://ncode.syosetu.com/N0106IB
記念日にヤラれてたことがわかった僕　	玖澪煌	現実世界(恋愛)	https://ncode.syosetu.com/N5115IB
大好きすぎる彼女に　ないがしろに　され続けた　俺は・・・	鎌倉	現実世界(恋愛)	https://ncode.syosetu.com/N3088IB
俺はきっともう恋愛ができない-サレた後の物語-	Blue Raccoon	現実世界(恋愛)	https://ncode.syosetu.com/N6353IB
陰キャでイジメられていた僕が「そろそろバンドでも組もう」と可愛い幼なじみに頼まれ、バンドのボーカルになった件。	カミトイチ	現実世界(恋愛)	https://ncode.syosetu.com/N8183IB
濡衣で幼馴染に絶交された中学バスケ部エース、高校生になり幼馴染みがバスケ部復帰&amp;復縁を願ってるようですがバイトの同僚で才色兼備な御令嬢と激甘カップルとなってるのでもう遅い！	ソルト檸檬	現実世界(恋愛)	https://ncode.syosetu.com/N4075IB
実は俺もVtuber～駆け出しVtuberを支える俺、実は登録者数１００万人の人気Vtuberな件～	こりんさん＠クラきょど３巻来春発売予定！	現実世界(恋愛)	https://ncode.syosetu.com/N5176IA
冤罪だと誰も信じてくれず追い詰められた僕、濡れ衣が明るみになったけど今更仲直りなんてできない	一本橋	現実世界(恋愛)	https://ncode.syosetu.com/N8548IB
氷の女王と呼ばれるカリスマ美少女モデルが殺し屋の目で婚姻届の用紙を出してくるんだけどまだ１６歳なので結婚とか無理です	くまの　ほたり	現実世界(恋愛)	https://ncode.syosetu.com/N1193IB
美少女双子姉妹の誰も見向きもしない「余り物」の気弱で巨乳な妹を助けたら、俺にだけやたらと懐いてきた上に色々と距離感がバグってた件	守次 奏	現実世界(恋愛)	https://ncode.syosetu.com/N2367IB
【書籍化】有名Vtuberの兄だけど、義妹が配信切り忘れたら、なぜか俺が有名になった～陰キャだからと振られた俺が、超人気ブラコン妹の兄として注目され、期待の新人Vとしてデビューするけど今更なんですか？	茨木野	現実世界(恋愛)	https://ncode.syosetu.com/N1726HU
一人暮らしを始めたら、途端に彼女が巣作りを始めた件	墨江夢	現実世界(恋愛)	https://ncode.syosetu.com/N5215IB
どうも、モブです。「ねーねー、どっか遊びに行こうよ」って女の子をナンパして彼氏とかに撃退されるのが俺のお仕事です。なのに今回ナンパした子がめちゃくちゃ乗り気なんです。	やまだのぼる	現実世界(恋愛)	https://ncode.syosetu.com/N1184IA
山本君の青春リベンジ！～学校でイジメられてた俺が努力して生まれ変わり、戻ってきてからクラスメート達の様子がおかしい件～	夜桜ユノ【『クラスで陰キャ』コミック発売しました！】	現実世界(恋愛)	https://ncode.syosetu.com/N6511HQ
チビデブブサイクな俺のどこに惚れたって言うんだ	ミソネタ・ドざえもん	現実世界(恋愛)	https://ncode.syosetu.com/N6494IB
幼馴染みに「ツンデレって何？」と聞かれたので、「お前のことだよ」と教えてやった	墨江夢	現実世界(恋愛)	https://ncode.syosetu.com/N8692IA
女上司が職場の飲み会に俺だけ誘ってくれない	墨江夢	現実世界(恋愛)	https://ncode.syosetu.com/N7363IA
僕の最強の幼馴染	にやり	現実世界(恋愛)	https://ncode.syosetu.com/N8391IB
人気女優の幼馴染は、「演技の練習」と言えばどんなイチャイチャも許して貰えると思っているらしい	墨江夢	現実世界(恋愛)	https://ncode.syosetu.com/N4489IB
先輩、本当に大丈夫ですか？	みえだ	現実世界(恋愛)	https://ncode.syosetu.com/N7923IA
女子生徒Aは推しに殺されたい！	散茶	現実世界(恋愛)	https://ncode.syosetu.com/N1988IB
一年付き合ってた彼女が医大生とラブホから出てきた（NTR……涙）。帰り道、川で幼女が溺れていたので助けて家まで送ってあげたら学園のアイドルの家だった。	マナシロカナタ（かなたん）＠2/1発売「隣の席の美少女をナン～」	現実世界(恋愛)	https://ncode.syosetu.com/N1262IA
恋愛を間違えた幼馴染がしつこく擦り寄ってくるのを撃退する話	めりのおうち	現実世界(恋愛)	https://ncode.syosetu.com/N8378IB
大切な人の一生の別れに「新しい人を好きになってね」と言われた。そして罰ゲームで嘘コクされた。	エア	現実世界(恋愛)	https://ncode.syosetu.com/N9499IA
幼馴染との関係の変遷	にやり	現実世界(恋愛)	https://ncode.syosetu.com/N6255IB
家族に大切な物を捨てられた。俺は、、	エア	現実世界(恋愛)	https://ncode.syosetu.com/N6578HZ
誘拐犯から幼女を助けたら、氷の姫君の妹でした～美人姉妹の恩返しで毎日幸せすぎるんだが〜	ちくでん	現実世界(恋愛)	https://ncode.syosetu.com/N5574IB
【氷の女王】と呼ばれる剣道日本一の超絶美少女が、俺と稽古する時だけ全力で殺しに来るんだが何でだ？	詩田門　文／すぎモン	現実世界(恋愛)	https://ncode.syosetu.com/N0634IB
幼馴染のために身を引きました。すると何故か幼馴染に絡まれるのですが	赤井藍	現実世界(恋愛)	https://ncode.syosetu.com/N5654IA
浮気したけど『ざまぁ』されなかった女の慟哭	Blue Raccoon	現実世界(恋愛)	https://ncode.syosetu.com/N6745IB
サレ男の開花〜寝取られた男の物語〜	Blue Raccoon	現実世界(恋愛)	https://ncode.syosetu.com/N3477IB
TS転生した私が所属するVtuber事務所のライバーを全員堕としにいく話	離村(恋狸)	現実世界(恋愛)	https://ncode.syosetu.com/N5942HX
おっさんと新入社員ちゃん	猫カレーฅ ^•ω•^ ฅ	現実世界(恋愛)	https://ncode.syosetu.com/N5300IB
俺のキッツイLINEを元カノに晒されたので、元カノも笑った連中も丸ごとボコボコにする話。	もやしマン	現実世界(恋愛)	https://ncode.syosetu.com/N1340IB
幼馴染のわたしはモブでいたいのに、なぜかヒロインの恋愛対象になっている。	白藍まこと	現実世界(恋愛)	https://ncode.syosetu.com/N1873IB
攻め落とす気満々の年下幼馴染に、そろそろ陥落してしまうかもしれない俺の話	藤崎珠里	現実世界(恋愛)	https://ncode.syosetu.com/N2359IB
セフレが『裕也様専用』とタトゥーを入れてきて重い	Blue Raccoon	現実世界(恋愛)	https://ncode.syosetu.com/N4068IB
【連載版】伝説の鍛冶師は無自覚に伝説を作りまくる～弟に婚約者と店を奪われた俺、技を磨く旅に出る。実は副業で勇者の聖剣や町の結界をメンテする仕事も楽々こなしてたと、今更気づいて土下座されても戻りません	茨木野	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6008IA
転生幼女は前世で助けた精霊たちに懐かれる	えぞぎんぎつね	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2735HZ
レイトのゆるーい転生生活	アケチカ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4105HZ
ただの村人の僕が、三百年前の暴君皇子に転生してしまいました～このままでは強引に妃にする予定の冷酷侯爵令嬢に暗殺される運命なので回避するために奮闘したら、すごく溺愛されました～	サンボン	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N5873IB
【完結】スパイ令嬢　～妹に婚約者を奪われた伯爵令嬢、実は敵国のスパイだったことに誰も気づかない～	日之影ソラ（ノベル19シリーズ）	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N5650IB
ミリしら転生ゲーマー　～1ミリも知らないゲームの世界に転生したけど全力で原作を守護ります～	ウスバー	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4744IA
とんでもスキルで異世界放浪メシ	江口　連	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2710DB
万年ヒラの支援魔術師、最強の賢者になる～不人気の支援魔術師は給料泥棒だと魔術大学をクビになったが、出世した元教え子たちのおかげで何も困らない件～	苗原一	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9997IA
追放されて早十年のオッサン冒険者、久々に健康診断を受けたらステータスがとんでもないことになっていた～一日にちょっとずつステータスが上がるスキル【晩成】が今更覚醒していました～	夜分長文@「追放された使用人」書籍化	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N1780IB
【完結】魔王を倒してスキルを失ったら「用済み」と国を追放された勇者、数年後に里帰りしてみると既に祖国が滅んでいた	きなこもちこ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N5523IB
神様なんか信じてないけど、【神の奇跡】はぶん回す　～自分勝手に魔法を増やして、異世界で無双する（予定）～	リウト銃士	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6344HU
【完結】ノケモノ黒魔術師のやり直し。２週目人生をＬｖ９９９の闇の力で、最凶魔王と呼ばれて無双する。勇者に裏切られ、命と愛する者を奪われた俺、過去に戻ってすべてを取り戻します！	こはるんるん(『竜王に拾われて魔法を極めた少年』2/15発売）	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2667IB
６歳の王子は無自覚に兄を断罪する	土広  真央加	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9169IA
スキルの素を3つ選べって言うけど、早いもの勝ちで余りモノしか残っていませんでした。※『スキル』と『スキルの素』の違いに気づいた俺は異世界でチートスキルを生み出してバカにした奴らを見返します。	ヒゲ抜き地蔵	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N7030IA
異世界のんびり農家	内藤騎之介	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N3289DS
魔女と傭兵	超法規的かえる	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2819HA
国に最強のバリアを張ったら平和になりすぎて追放されました。そのバリア、永続じゃないよ？	CK	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N1336HZ
【書籍化】神様のミスで異世界にポイっとされました　～元サラリーマンは自由を謳歌する～	でんすけ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N3811HG
実家を二度追放された俺、弱小国に拾われて無双の英雄となる。【スキル鑑定・極】が発現して、騎士や魔法使いたちの能力を片っ端から底上げしてたら、いつのまにか世界最強国家になっていたようです。	六志麻あさ ＠『英霊召喚』5巻＆『チート付与』4巻発売中！	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N5861IA
片田舎のおっさん、剣聖になる　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～	佐賀崎しげる	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6895GP
英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～	ハヤケン	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2933FJ
駆けろ雑兵〜ガストン卿出世譚	小倉ひろあき	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4836IA
転生したら、子どもに厳しい世界でした。	梨香	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9436IA
老後に備えて異世界で８万枚の金貨を貯めます	FUNA	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N5529CY
剣と魔法と学歴社会 〜前世ガリ勉だった俺は今世では風任せに生きる〜	West  Inlet	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N7463HO
【web版】ブチ切れ令嬢は報復を誓いました。〜魔導書の力で祖国を叩き潰します〜	はぐれメタボ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6981GN
剣聖と大賢者の正体が、落第貴族と呼ばれる俺な件について～しょうがないから守護神してるけど、さっさと変わってほしい暗躍学院ライフ～	タンバ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N8008HZ
最強陰陽師の異世界転生記　～下僕の妖怪どもに比べてモンスターが弱すぎるんだが～	小鈴危一	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N1290FF
お気楽領主の楽しい領地防衛  〜生産系魔術で名もなき村を最強の城塞都市に〜	赤池宗	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N8733GF
◆書籍化◆王空騎士団と救国の聖女～無敵の飛翔能力者アイリスの物語～	守雨	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4266HY
【アニメ放送中！】陰の実力者になりたくて！【web版】	逢沢大介	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N0611EM
魔術師クノンは見えている	南野海風	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N1314HD
『植樹』なんて使えないと実家を追放された元嫡男の、ゼロから始めるスローライフ　～神鳥さんが言うことには、僕が植えられる樹は世界樹みたいです～	しんこせい(『お助けキャラ』1巻2/24発売！)	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6930HZ
ブリッツ・マジック・スケーリング　～異世界で最も複雑な魔法陣の作り方～	支倉凍砂	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4486HZ
【書籍化決定】転生難民少女は市民権を０から目指して働きます！	鳥助	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N4727HV
大好きなお姉ちゃんが婚約破棄されて修道院送りになりました　～優しいお姉ちゃんの親友に便利な魔法を教えてもらったので、お姉ちゃんを助けたいと思います～	ヒデミケ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N1311IB
バスタード・ソードマン	ジェームズ・リッチマン	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9619HU
【書籍化】アルマーク   ～北の剣、南の杖～	やまだのぼる	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9407FU
商人令嬢はお金の力で無双する	西崎ありす	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N7979HV
聖女さまは取り替え子	灯乃	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N8633HZ
S級ギルドを追放されたけど、実は俺だけドラゴンの言葉がわかるので、気付いたときには竜騎士の頂点を極めてました。	三木なずな	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N7619GQ
仲間に裏切られた俺は魔王に転生する。俺だけの最強国家を魔界に築き上げ、最強魔族の軍団を編成したので、地上にいる仲間の領土に侵攻する。さあ、待ってろよ裏切り者ども。	六志麻あさ ＠『英霊召喚』5巻＆『チート付与』4巻発売中！	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N5601IB
解雇された暗黒兵士（３０代）のスローなセカンドライフ	岡沢六十四	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N0617FD
泡沫に神は微睡む	安田　のら	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N6274HB
物理型白魔導師の軌跡　〜ソロの支援職、自分にバフを盛って攻撃特化無双。後方支援？そんな事より暴力です！〜	桜ノ宮天音	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9314HZ
転生したら、悪役令嬢の父親だった	京　五月	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9275HQ
２度目の人生、と思ったら、実は３度目だった。～歴史知識と内政努力で不幸な歴史の改変に挑みます～	take4	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N0890HW
最強出涸らし皇子の暗躍帝位争い～帝位に興味ないですが、死ぬのは嫌なので弟を皇帝にしようと思います～	タンバ	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N2377FH
天才魔術師を弟に持つと人生はこうなる	江崎乙鳥	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N8703HN
召喚された賢者は異世界を往く　～最強なのは不要在庫のアイテムでした～	夜州	ハイファンタジー(ファンタジー)	https://ncode.syosetu.com/N9275EI
地獄の沙汰も黄金次第　～会社をクビになったけど、錬金術とかいうチートスキルを手に入れたので人生一発逆転を目指します～	出雲大吉	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N1932IA
生放送！　ＴＳエルフ姫ちゃんねる　～ハイスペックな体で無自覚スーパープレイ連発します～	ミミ＠受賞作『ダンジョン城下町運営記』発売中	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N5836IA
レベルガチャ～ハズレステータス『運』が結局一番重要だった件～	皇　雪火	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N6136HZ
リスナーに騙されてダンジョンの最下層から脱出RTAすることになった	離村(恋狸)	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3177IB
独自ダンジョン攻略	差波　辰光	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N3369IA
おまえんちヒールないの？	野井ぷら@12ハロンのチクショー道発売中！	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N6725IA
うちの畑にダンジョンができたので冒険者になってみる～気が付いたら見下してきていた冒険者を実力でぶち抜いたり美少女婚約者が出来たりしていた件	たうめりる	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N6767HY
主人公になり損ねたオジサン	カブキマン	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N9210IA
神社でお祈りしたらまるでゲームな能力を手に入れました。～俺だけ能力複数持ちで超無双	Albireo	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N6315IA
異世界から帰還したら地球もかなりファンタジーでした。あと、負けヒロインどもこっち見んな。	飯田栄静＠市村鉄之助	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N6335HY
ダンジョンで潮干狩りを	大正	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N9657HS
かみつき！　～お憑かれ少年の日常～	仏ょも	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N4138IB
 俺だけ持っている【異世界の記憶】スキルが最強すぎる件〜ダンジョン溢れる現代を、チート知識と数多のスキルで超速レベルアップして無双します〜	あおぞら	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N4175IA
庭にできたダンジョンではどうやら時間が止まるらしい～ダンジョン攻略が楽しくて無限に潜っていたらいつの間にか世界最強になっていました～	AteRa	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N9308HZ
【超速爆速レベルアップ】～俺だけ入れるダンジョンはゴールドメタルスライムの狩り場でした～　	シオヤマ琴@コミカライズ2作、書籍化1作準備中	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N7905IA
成り上がり英雄の無人島奇譚 ～スキルアップと万能アプリで美少女たちと快適サバイバル～	絢乃	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N4664IA
庭にできた異世界で丸儲け。破格なクエスト報酬で社畜奴隷からニートになる。〜投資額に応じたスキルを手に入れると現実世界でもいつのまにか無双していました〜	k-ing	ローファンタジー(ファンタジー)	https://ncode.syosetu.com/N0348IB
